zip_code,population_2021,,,,
90620,"47,104",,,,
93611,"47,099",,,,
92009,"46,622",,,,
92410,"46,615",,,,
93635,"46,606",,,,
93036,"46,594",,,,
95403,"46,463",,,,
90065,"46,432",,,,
95822,"46,375",,,,
92069,"46,375",,,,
90638,"46,335",,,,
91765,"46,270",,,,
92692,"46,240",,,,
94546,"46,169",,,,
93446,"46,048",,,,
94928,"45,910",,,,
91352,"45,900",,,,
90016,"45,884",,,,
95610,"45,792",,,,
92104,"45,773",,,,
90023,"45,732",,,,
92019,"45,694",,,,
92555,"45,694",,,,
92122,"45,676",,,,
94566,"45,648",,,,
92648,"45,612",,,,
95380,"45,576",,,,
94116,"45,510",,,,
91790,"45,497",,,,
92040,"45,371",,,,
95762,"45,340",,,,
94605,"45,334",,,,
92109,"45,333",,,,
93726,"45,330",,,,
90032,"45,298",,,,
91387,"45,295",,,,
91748,"45,205",,,,
95678,"45,201",,,,
95209,"45,150",,,,
93702,"45,095",,,,
92374,"45,066",,,,
91367,"44,931",,,,
90503,"44,744",,,,
90241,"44,701",,,,
90027,"44,678",,,,
90025,"44,608",,,,
96003,"44,522",,,,
92688,"44,386",,,,
91320,"44,356",,,,
90043,"44,272",,,,
94403,"44,244",,,,
92867,"44,232",,,,
93455,"44,091",,,,
94561,"44,088",,,,
91733,"43,978",,,,
94121,"43,964",,,,
92506,"43,900",,,,
94066,"43,846",,,,
95831,"43,683",,,,
94010,"43,644",,,,
93534,"43,535",,,,
93292,"43,508",,,,
90501,"43,450",,,,
92545,"43,440",,,,
95926,"43,402",,,,
91606,"43,381",,,,
94804,"43,346",,,,
93552,"43,118",,,,
92101,"43,096",,,,
90815,"43,092",,,,
92308,"43,079",,,,
94531,"43,067",,,,
95991,"43,028",,,,
95210,"43,009",,,,
90242,"43,002",,,,
91360,"42,984",,,,
92802,"42,911",,,,
90278,"42,841",,,,
95621,"42,838",,,,
95337,"42,713",,,,
90605,"42,600",,,,
95628,"42,434",,,,
90275,"42,417",,,,
94521,"42,388",,,,
94578,"42,370",,,,
94901,"42,307",,,,
91350,"42,252",,,,
92236,"42,218",,,,
94134,"41,977",,,,
91789,"41,829",,,,
94025,"41,826",,,,
95765,"41,799",,,,
95407,"41,575",,,,
90806,"41,571",,,,
91016,"41,507",,,,
93706,"41,470",,,,
94118,"41,456",,,,
95838,"41,438",,,,
91739,"41,427",,,,
90045,"41,411",,,,
95132,"41,337",,,,
93454,"41,324",,,,
90059,"41,315",,,,
92821,"41,286",,,,
90007,"41,270",,,,
91311,"41,188",,,,
95835,"41,051",,,,
95301,"41,015",,,,
93637,"40,996",,,,
92591,"40,889",,,,
91942,"40,863",,,,
95833,"40,853",,,,
95826,"40,847",,,,
94117,"40,701",,,,
92307,"40,604",,,,
94551,"40,552",,,,
95695,"40,479",,,,
94611,"40,292",,,,
92102,"40,083",,,,
92806,"40,009",,,,
95688,"39,967",,,,
90604,"39,926",,,,
90808,"39,723",,,,
95205,"39,723",,,,
90012,"39,709",,,,
92394,"39,540",,,,
95691,"39,361",,,,
95129,"39,318",,,,
94534,"39,318",,,,
94583,"39,284",,,,
95050,"39,269",,,,
92240,"39,173",,,,
93711,"39,085",,,,
90802,"39,036",,,,
91701,"39,019",,,,
91401,"38,974",,,,
92231,"38,879",,,,
92083,"38,875",,,,
92672,"38,872",,,,
92543,"38,769",,,,
94044,"38,609",,,,
94606,"38,595",,,,
95928,"38,594",,,,
90031,"38,533",,,,
94555,"38,522",,,,
90301,"38,500",,,,
95973,"38,490",,,,
95120,"38,358",,,,
94954,"38,354",,,,
94061,"38,255",,,,
90020,"38,124",,,,
91776,"38,112",,,,
92337,"38,079",,,,
93021,"38,030",,,,
95404,"38,028",,,,
94590,"38,012",,,,
95993,"37,993",,,,
90804,"37,953",,,,
93305,"37,904",,,,
91763,"37,821",,,,
92253,"37,814",,,,
93705,"37,763",,,,
95121,"37,663",,,,
91104,"37,619",,,,
90036,"37,596",,,,
95340,"37,584",,,,
92301,"37,571",,,,
92054,"37,567",,,,
90505,"37,533",,,,
95825,"37,522",,,,
92037,"37,505",,,,
95821,"37,473",,,,
90810,"37,451",,,,
93245,"37,360",,,,
95382,"37,296",,,,
90005,"36,910",,,,
91001,"36,867",,,,
92831,"36,859",,,,
91711,"36,841",,,,
92065,"36,838",,,,
93612,"36,833",,,,
95401,"36,820",,,,
91768,"36,706",,,,
92706,"36,694",,,,
91362,"36,587",,,,
95476,"36,578",,,,
94404,"36,571",,,,
95126,"36,457",,,,
90277,"36,409",,,,
90621,"36,385",,,,
91205,"36,367",,,,
95062,"36,278",,,,
95820,"36,224",,,,
92508,"36,191",,,,
95901,"36,176",,,,
92869,"36,174",,,,
92649,"36,130",,,,
92807,"36,110",,,,
94520,"36,107",,,,
92660,"36,100",,,,
91326,"36,079",,,,
92131,"36,070",,,,
94603,"35,996",,,,
94124,"35,982",,,,
91340,"35,918",,,,
93657,"35,854",,,,
90049,"35,853",,,,
94040,"35,800",,,,
93012,"35,794",,,,
92883,"35,788",,,,
91722,"35,714",,,,
95660,"35,649",,,,
91752,"35,641",,,,
90266,"35,585",,,,
94588,"35,532",,,,
91780,"35,494",,,,
92551,"35,421",,,,
94621,"35,379",,,,
95128,"35,367",,,,
92139,"35,364",,,,
91325,"35,355",,,,
95667,"35,343",,,,
92675,"35,319",,,,
92596,"35,294",,,,
91321,"35,231",,,,
94063,"35,163",,,,
94401,"35,095",,,,
90029,"35,037",,,,
94523,"34,957",,,,
92694,"34,879",,,,
91601,"34,786",,,,
95361,"34,725",,,,
96002,"34,693",,,,
92841,"34,650",,,,
92612,"34,640",,,,
91915,"34,616",,,,
92595,"34,611",,,,
93060,"34,583",,,,
95842,"34,578",,,,
95348,"34,489",,,,
94114,"34,474",,,,
94952,"34,457",,,,
91791,"34,411",,,,
91773,"34,407",,,,
90062,"34,277",,,,
96001,"34,253",,,,
92311,"34,204",,,,
94115,"34,193",,,,
92583,"34,103",,,,
95341,"34,045",,,,
91754,"33,931",,,,
92103,"33,873",,,,
91941,"33,858",,,,
94102,"33,856",,,,
90260,"33,794",,,,
94608,"33,755",,,,
95482,"33,744",,,,
90222,"33,729",,,,
91007,"33,689",,,,
95377,"33,630",,,,
90230,"33,620",,,,
93710,"33,507",,,,
94545,"33,496",,,,
94526,"33,473",,,,
91354,"33,461",,,,
91750,"33,406",,,,
93422,"33,195",,,,
94801,"33,178",,,,
91107,"33,148",,,,
93314,"33,134",,,,
91351,"33,131",,,,
95834,"33,102",,,,
95662,"33,099",,,,
93555,"33,060",,,,
95356,"33,055",,,,
94043,"33,052",,,,
92123,"33,035",,,,
90504,"33,022",,,,
90807,"32,994",,,,
93955,"32,979",,,,
91505,"32,884",,,,
